A,B,C,D
Tayfun,Sessiz  Bir Kelebegin Rüyalari Ve Danslari,Gözlerinde Hüzün,0
Sandy Lam,Faces And Places,Ai Ji Mei Gui 1000 Da,0
Audio Adrenaline,Audio Adrenaline,My God  (Audio Adrenaline Album Version),1992
Francis Dunnery,Welcome To The Wild Country,The Possibilities of Loving You,1991
Ghorwane,Vana-Va-Ndota,Nudez,0
Obie Bermudez,Confesiones,Antes (Salsa Version),2003
Herb Alpert And The Tijuana Brass,Lost Treasures: Rare And Unreleased,Lazy Day,0
Carl Smith,Replay: Carl Smith,Hey Joe,1993
Jay Randall,Cajun Jay,Mathilda,0
Deep Forest,Comparsa,Green And Blue,1997
Louis Prima And Keely Smith,Jump_ Jive an' Wail: The Essential Louis Prima,I've Got You Under My Skin,1960
Junior Reid,Boom-Shack-A-Lack,"Boom-Shack-A-Lack (12"" Mmix / Bonus Tra)",1998
Los Amigos Invisibles,Superpop Venezuela,San Agustin,0
Aeoliah,Echoes Of Tomorrow,We Are One Light,0
Clarence Profit,Clarence Profit,Tropical Nights,0
Mando Diao,Long Before Rock 'n Roll,Popovic,2006
Bonita & Jerry Cormier,En toute complicité,Sans ton amour,0
Alphonse Mouzon,In Search Of A Dream,The Ram And The Scorpio,1977
Mikey Dread,Life is a Stage,Pound a Weed,0
James Blackwood with The Light Crust Doughboys,King of the Gospel Singers,This World Is Not My Home,0
Ben Sidran,Live at FIP,Everybody's boppin',0
Special Duties,'77 In '97,I Am The Curse (Duties Demo),0
Lole y Manuel,Alba Molina,Tango de la Flor (Album Version),0
African Rhythm Messengers,Bottom Belle,baby Wayo,0
Dimmu Borgir,Alive in Torment,Puritania,2001
Ken Yokoyama,The Cost Of My Freedom,I'm Not Afraid When I'm With You,0
Planxty,Planxty,Follow Me Up To Carlow,1973
King Curtis,The Platinum Collection,Ode To Billie Joe  (Live @ Fillmore West),2007
Tammy Pescatelli,It Is What It Is,Playboy Foundation,0
Babe Ruth,Grand Slam - The Best Of Babe Ruth,A Fistful Of Dollars (1994 Digital Remaster),0
Ice Cube Featuring Flavor Flav,AmeriKKKa's Most Wanted (Explicit),I'm Only Out For One Thang (Explicit) (Feat. Flavor Flav),0
M.A. Numminen,Ollaan Elaimia,LAIVAMATKA WC:SSÄ,0
Carl Smith,Honky Tonk Rockabillies_ Volume 1,Hey Joe,1993
Big Dee Irwin,Christmas With The Stars,Swinging On A Star,1990
Samba Trio,Tristeza,Essa Marie,0
Charley Patton,Complete Recordings_ CD C,Circle Round The Moon,1990
VHS Or Beta,You Got Me,You Got Me (The Juan Maclean Dub),2006
The Equals,Michael & His Slipper Tree '93,Michael & His Slipper Tree '93,0
Gold City,Signed Sealed Delivered,Mighty Army Band,0
Brazilian Tropical Orchestra,Plays Boleros,Swan Lake,0
The Sterns,Sinners Stick Together,Supreme Girl,2006
Edgar De L'est,Les vacances,Slavinka,2002
Amy Winehouse,Frank,In My Bed,2003
Michael Jackson,Gold,Morning Glow,1973
John Williams,John Williams - Greatest Hits 1969-1999,The Imperial March from The Empire Strikes Back,0
Ayo,Joyful,Down On My Knees,2006
Pheeroan Aklaff,Drum Set Variations,Hispaniola A,0
Pink Floyd,The Piper At The Gates Of Dawn,Matilda Mother (Stereo) (2007 Remaster),1967
Cirrus,Counterfeit,Boomerang (Reprise),2002
Junior Reid,Cant Stop Us Now,Mr Big Man,0
Pennywise,Fuse_ The,Lies,2005
Edmundo Ros,Underneath The Arches - 20 British Memories,The Wedding Samba,0
Steve Chou,Steve Chou Transfer,Pi Jiu Pao Pao (Beer Bubbles),0
Blingtones,Helium crazy ringtones,Stinky Breath,0
Why?,Split EP!,You'll Know Where Your Plane Is... (Part 4),0
Righteous Brothers,The Collection,Little Latin Lupe Lu,1975
The Cortinas,GBH Demos 1977,Youth Club Dance (Demo),0
Daddy Yankee,Los Homerun-es,Baila Girl_ Todo Hombre Llorando Por Ti,2003
Kane,So Glad You Made It,Rain Down On Me,2001
Vangelis,El Greco,El Greco: Movement III,1998
Rodney O & Joe Cooley,Three The Hard Way,Party,2002
Alfredo Kraus/Paul Plishka/Matteo Manuguerra/Sherrill Milnes/Trinity Boys' Choir/Ambrosian Opera Chorus/National Philharmonic Orchestra/James Levine,Puccini: La Bohème - Highlights,Caro! (Colline/Rodolfo/Schaunard/Children/Townspeople/Musetta) (1998 Digital Remaster),0
Sunnyland Slim,Slim's Shout,Tired Of You Clowning,0
Sara Melson,Dirty Mind,Anywhere Anytime,2008
Happy Mondays,100 Chillout Classics,Hallelujah [Club Mix - Remastered version],0
Sam Fan Thomas,The African Typic Collection,African Typic Collection,1989
Gregory Isaacs,Hold Tight,Down the Line,1979
Bonita & Jerry Cormier,En toute complicité,La maison ou j'ai grandi,0
Michael Jackson,Love Songs,Ain't No Sunshine,1972
Memphis Jug Band,Jug Band Waltz,Going Back To Memphis,2001
The London Theatre Orchestra,Sci-Fi Themes,War Of The Worlds,0
Foals,Antidotes,Red Socks Pugie,2008
Faith Hill,Fireflies,I Want You (Album Version),2005
Yahir,No te apartes de mi,No Te Apartes De Mi,0
Capleton,The Very Best of Capleton Gold,Bumbo Red,0
John Brown,John Brown Or Die: A Revival You Can Believe In,Sarah Palin {I Wanna Lay Pipe} [Remix],0
Vince Guaraldi,The Latin Side Of Vince Guaraldi,Corcovado,1964
Mush,Test EP Vol 1,Test 72,0
The Knux,Bang! Bang!,Bang! Bang!,2008
James Taylor Quartet,Don't Mess With Mr T,Cleo's Mood,2007
The Motors,Approved By The Motors,You Beat The Hell Outta Me,1977
Jean Carnigan,French Canadian Irish And Scottish Fiddle Music,Irish Medley - Jigs,0
Mariano Yanani,Babies Go Sting,Why Should I Cry For You,2005
The Gaskets,Loose Change,Deportees,0
Leroy Hutson,Leroy Hutson Selected Hits Vol. 2,It's Different - Original,0
Gertrudis,500,Oye,2005
Between The Buried And Me,The Anatomy Of,Kickstart My Heart (Album Version),2006
Loop Guru,Butterfly Dawn,Climax,0
Inoki,Nobiltà di strada,Parola di faliero,0
Liquid Gang,Sunshine,I Applaud You  (LP Version),0
Murskahumppa,Murskapunkkia,Mikä mun päässä nykii,0
Didier François,Sjansons patinées,Dans cette nuit j'ai envie de me perdre,0
Los Nakos,68/98,Las Hermanas Granaditas,0
Checkers,Flame In My Heart,Can't Find My Sadie,0
Alan Feinberg,Music To My Ears_ A Collection of Music for Children of All Ages - Fauré_ Chopin_ Saint-Saëns_ Schumann_ Borodin_ Bach_ etc,Menuet in the Name of Haydn,0
Ray Barretto,Salsa Legende - Best of Ray Barretto_ vol. 2,Dame Tu Carino,0
Israel & Moises,Cantan Al Amor Y La Amistad,El Amor De Mi Vida,0
The Refreshments,Rock On,Midnight,0
Carolyn Arends,Sieze The Day And Other Stories,Happy,0
Vince Taylor,Le Rock C'Est Ca,Sweet Little Sixteen,0
The Dillinger Escape Plan,Option Paralysis,Parasitic Twins,2010
Word,Matumago X Press,Il rosso,0
Karen Peck & New River,Journey of Joy,Behind The Line Of Grace,0
Jimmy Witherspoon,Jimmy Witherspoon & Panama Francis' Savoy Sultans,Rain Keeps Falling Down,0
Kostis Maraveyas,Radiopirate,Love Alone,0
Adolph Hofner,South Texas Swing,We Played A Game,0
Elva Hsiao,Never Look Back,Lonley,0
María,Besos,Cuenta Conmigo,0
Jack Off Jill,Humid Teenage Mediocrity,Yellow Brick Road,1994
Rick Ross / Carol City Cartel,Port Of Miami,It Ain't A Problem,0
Lionel Rogg,J. S. Bach: The Art of Fugue & 'Vivaldi' Solo Organ Concertos,Concerto in C major_ BWV 594 (after Vivaldi Op.7 No.5) (2007 Digital Remaster): I. 1st Movement,0
Hevia,Obsession,Albo,2007
Palito Ortega,20 Secretos de Amor - Palito Ortega,Te Fuiste En Abril,0
Paul Taylor,Hypnotic,Dream State,0
Mongo Santamaria,Brazilian Sunset,Soca Mi Nice,0
Montserrat Caballé,Hijo De La Luna,The Phantom Of The Opera/Wishing You Were Somehow Here Again,1994
Beenie Man,Concept Of Life,Politrix,2006
Erik Tronic,Eric Release (2041),Kyotronics,0
Kenny Rogers,The Legendary Kenny Rogers,Where Does Rosie Go?,2003
Nestor Torres,Dances_ Prayers_ & Meditations For Peace,Peace With Myself,0
Fred Merpol,En vrai,Y'a d'l'abus,0
Roberto Perera,Sensual,A Puro Dolor,0
Hecklah & Coch,Über alles in der Welt / Ihr hated nur (Remix),Ihr hated nur (P-Dog Remix),0
The Bug Featuring Spaceape,London Zoo,Fuckaz,2008
Koordinate Of Wonders,Irreverse,Castle of KoFW,2006
Ray Barretto,Salsa Legende - Best of Ray Barretto_ vol. 2,Vine Pa'echar Candela,0
Marlene Dietrich,Marlene Dietrich,When Love Dies,1991
Bombay Rockers,Introducing&,Rock Tha Party,2004
Aesop Rock,Urban Renewal Program - Supplement 1.5,Train Buffer,2002
Paulo Flores,Live - Ao vivo,Poema do semba,0
Leroy Hutson,Leroy Hutson Selected Hits Vol. 2,Never Know What You Can Do (Give It A Try) - Original,0
Styles P & The Evil Genius DJ Green Lantern,The Green Ghost Project (Clean),Shadows,0
John Williams,John Williams Plays the Movies,Everything I Do from Robin Hood,0
Rakim,The 18th Letter,Skit,1997
Devo,Duty Now For The Future/New Traditionalists,Going Under,1981
Greater Vision,A Greater Vision Christmas,Carol Of The Bells (Instramental Featuring The Budapest Pops Orchestra),0
Burning Spear,Chant Down Babylon: The Island Anthology,The Invasion (Aka Black Wa Da Da),0
Gorillaz,Gorillaz,Rock The House (Explicit),2001
Ann Nesby,This Is Love,Tables Turn,0
Danny Wright,An Intimate Christmas,Carol of the Bells (Album Version),0
Passion,Passion: Oneday Live With Road To Oneday Bonus Trax (Stereo Accompaniment Tracks),Jesus_ Lover Of My Soul (Bonus Stereo Trax),0
The Shamen,Heal (The Separation),Heal (The Separation) [PM Dawn Alt. Lead Mix],1996
Midwest Product,World Series Of Love,Motivator,2003
From Autumn To Ashes,Too Bad You're Beautiful,IV,2002
Thomas Battenstein,Light & Colours,East West,0
Mademoiselle Sane,La petite boite en fer,La petite boite en fer,0
Save As,Chillhouse Planet_ Vol. 2,Fanfara,0
Patrick Eudeline,Mauvaise Etoile,La Nuit,0
Piero Esteriore,Io Vivo,Io Vivo,0
Buju Banton,Inspirational Vibes,Destiny,1997
Sonny Landreth,Voices Of Americana: Sonny Landreth,She Left Me A Mule ,1999
Jean Lumière,Best of 40's and 50's_ Vol. 131,La chanson des genêts,0
Taking Back Sunday,Live From Bamboozle 2009,You Know How I Do [Live From Bamboozle],0
Grup Knar,Anadolu Ermeni Halk Müzigi,Ay Nare Nare,0
Warrior King,Virtuous Woman,Breath Of Fresh Air,2002
Lara,Petit Coeur Assassin,Café Sarajevo,0
Atreyu,Congregation of the Damned,Gallows (Album Version),2009
Hard Romantic,Sincerely_,Romanza,0
P.O.S,Never Better,Drumroll (We're All Thirsty),0
Helen Love,Calm Down Dad,Calm Down Dad,0
Workhorse,Beasts of Burden,High Horse,2007
Tracy Byrd,Love Lessons,Walking To Jerusalem,1996
Rita Chiarelli,The Italian Sessions,Tu Vuo_ Fa_ L_ Americano,0
Gathering,Gathering,Brampton To Roadhead,0
Daniel Johnston,The What Of Whom,To Go Home,1982
Languis,Split,Cable,0
The Chico Hamilton Quintet With Fred Katz_ Paul Horn_ John Pisano_ Carson Smith,Classical Katz,September Song,1997
Dynamix,Tribal Sunrise Volume 4,Bodyfly (Dynamix original version),0
Gipsy Kings,Greatest Hits,Tu Quieres Volver,1987
Redman / Saukrates / Icadon,Red Gone Wild,Get 'em,0
DJ Clue / P. Diddy,The Professional,Intro,1998
Connemara Stone Company,Dragonfly - Live at Folk im Schlosshof,Dragonfly,0
Humble Pie,The Atlanta Years,Intro/Whatcha Gonna Do about It,0
Lidell Townsell,The Next Generation,Duh Duh Da,0
Sleepy John Estes,Legendary Country Blues Artists - CD A,Stop That Thing,1935
Helen Love,Love And Glitter_ Hot Days And Musik,Bigbigkiss,2000
Basic Channel,BCD,Q1.1 Edit,1995
Sue Foley,Ten Days In November,She Don't Belong To You,1998
Joy Division,Still [Collector's Edition],The Sound Of Music - [High Wycombe Town Hall Live 13 July 1979] (Sound Check),0
Mills Brothers,Paper Doll,Youre nobody till somebody loves you,0
Jim Jones featuring Oshy,Pray IV Reign,This Is For My Bitches,2009
Light Of The World,Anthology: Addicted To Funk,"Pete's Crusade (12"" Version) (2006 Digital Remaster)",0
Krayzie Bone,Lyrical Paraphernalia,Let It All Go,0
Dark Shadows,House Of Dark Shadows and Night Of Dark Shadows,Departure / End Title (Love Theme From Night Of Dark Shadows),0
Ben Sidran,Dylan Different,Blowin' In the Wind,2009
Jim Kweskin with Samoa Wilson,Now And Again,Brother Can You Spare A Dime (Album Version),0
Jimmy Page,Outrider,Hummingbird,1988
Barry Mann,Soul & Inspiration,Here You Come Again (LP Version),0
Casiotone For The Painfully Alone,Vs. Children,White Jetta,2009
EPMD,Back In Business,Jane 5,1997
Mariano Yanani,Babies Go To Sleep,Canon In D Major (J. Pachelbel),0
Beherit,Engram,Suck My Blood,2009
Michelle Tumes,Dream,Love Shines Through  (Dream Album Version),0
Aphasia,Brain Patch Error,"non-existent track (part one: ""why don't you fuckin' remember anything ?"")",2001
Architecture In Helsinki,In Case We Die,Need To Shout,2005
Rocky Whatule,Comedy Ping-Pong,Friends Of All Races,0
Mohammad Nouri,Paeez - Persian Music,Morghe Eshgh,0
Eko Fresh feat. Capkekz,Hart(z) IV,Das ist mein Viertel,0
Jack Johnson and Friends / Matt Costa,Talk Of The Town,Fall Line,2003
Big Star,Keep An Eye On The Sky,Watch The Sunrise [Live at Lafayette's Music Room_ Memphis_ TN_ January 1973],0
Britney Spears,Someday (I Will Understand),Someday (I Will Understand),2005
Soul Asylum,Made To Be Broken,Don't It (make Your Troubles Seem Small) (Album Version),1986
The Frequency,THE FREQUENCY,Own Me,2004
Barbara Fairchild,He Kept On Loving Me,The Other Side Of That Hill,0
Caballo Dorado,No dejes de bailar,Me vuelves loco,0
City High,City High,Sista,2001
Rachael Starr,Till There Was You,Till There Was You (John Creamer & Stephane K Remix),2005
Lonnie Brooks,Sweet Home Chicago (Paris 1975) (Blues Reference),Two Guitars Shuffle (take 1),0
Don Gibson,Lonesome Number One,I Love No One But You,1991
Stanley Clarke,East River Drive,What If I Forget The Champagne,1998
Sergio Mendes,In Person At El Matador,Tem Do de Mim (Live At El Matador_ San Francisco),0
Michael Card,The Way Of Wisdom,Arise_ My Love (Song Of Solomon),0
Rancid,Rancid,Meteor Of War (Album Version),0
Mykill Miers,The Trials Of Job,Listen,0
Chroma Key,Graveyard Mountain Home,Salvation,2004
Hélio Ziskind,O Gigante Da Floresta,A história do incêndio do jequitibá de Carangola (Part 1),0
The Red Jumpsuit Apparatus,Don't You Fake It,In Fate's Hands (Album Version),2006
Anna Abreu,Anna Abreu,Shame,2007
Moon Mullican,Moon's Tune,Kangaroo Blues,0
TEN MADISON,From Lust To Dust,Elementro,2003
Jim Kweskin,Garden Of Joy,Kaloobafak [I'm Confessin' (That I Love You)] (LP Version),0
George Nooks,George Nooks Sings Dennis Brown,Your Love (Got a Hold of Me) instrumental,0
Atman,97 | 07,All Is One,1998
Carl Davis,DAVIS_ C.: Cranford (Davis),Cranford: Deborah's Vigil,0
Justin,Justin One Good Show Concert,Wo You Jin Ri,0
Joe Turner,Diggin' Deeper Volume 3,Nobody In Mind,0
The Pineapple Thief,Little Man,Run A Mile,2006
Georges Parys,Le Cinema De Michel Audiard,Levallois Monte Carlo,0
S.U.P,The Cube 1998,4tx.31b,1993
Deville_ Willy,Loup Garou,Loup Garou,1996
Sophie B. Hawkins,Timbre,32 Lines (Album Version),1999
Dark Shadows,House Of Dark Shadows and Night Of Dark Shadows,The Taking Of Angelique,0
Daniel Johnston,Retired Boxer,Oh No,1984
Circle Jerks,Wild In the Streets,Question Authority,1982
Diesel Boy,Venus Envy,Dragonfly,1998
Jake Hess,Tribute To Jake Hess,So Many Reasons,2004
The Gathering,Always,Gaya's Dream,0
Jack Johnson,Brushfire Fairytales,Fortunate Fool,2000
Elvin Bishop,Gettin' My Groove Back,I'll Be Glad,2005
Fiona Sit,It's My Day,Xin Bu Liao Qing,0
Showbread,The Fear Of God,Nothing Matters Anymore,2009
Bruce Springsteen,Born In The U.S.A.,Working On The Highway,1984
Cal Tjader,Sounds Out Burt Bacharach,Anyone Who Had A Heart,2003
Nick Cave & The Bad Seeds,From Her To Eternity (2009 Digital Remaster),Wings Off Flies (2009 Digital Remaster),0
Fabolous,Street Dreams,Trade It All PT2  (Early Fade Amended Version- Bonus Track) (featuring P. Diddy & Jagged Edge),2003
Showbread,Nervosa,The Pig,2008
Jason Miles,Miles To Miles,Suba,0
Samba Mapangala and Orchestra Virunga,African Classics,Siri,0
Bimbo,Semoga Jalan Dilapangkan Tuhan,Lebaran,0
Wet Wet Wet,Picture This,Love Is All Around,1994
Mario Rosenstock,Gift Grub: The Best Of 2004,Radio Jay,0
Timbalada,Alegria Original,Maracaia,2006
B.A.D.,All i,Chu Hsin,0
Arne Weise,Minnen _ drömmar och lite till,Sommarens sista mås,2002
Jay Pérez,Tesoros De Colección,Ya Basta,0
Johnny Nash,I Can See Clearly Now,There Are More Questions Than Answers,1972
Falling Into Place,Every Grave is a Garden,Cell (Album),0
Hank Penny,Hank Penny: Crazy Rhythm: The Standard Transcriptions,Wang Wang Blues,0
Marty Robbins,Country Style U.S.A. with Ferlin Husky_ Wilburn Brothers_ Benny Martin_ Marty Robbins,DEU470956112,0
Catherine King/Matthew Schwinghammer/The American Boychoir,La bonne cuisine,Trois Noëls québècois (trad): Gabriel,0
Nightwish,Angels Fall First,Beauty And The Beast,1997
Chris Standring,Soul Express,Through the Looking Glass (jazz),2006
Bob Newhart,The Button-Down Mind On TV,General Chariot Corp. (LP Version),0
BB King,The Road from Itta Bena,She Don't Move Me No More,1995
Joe Lynn Turner,Nothing's Changed [Original Recording Remastered],Knock Knock,0
The Fureys,The Fureys Finest,The Lonesome Boatman,0
Kent,B-sidor 95 - 00,Markus sång,0
Beautiful Creatures,Beautiful Creatures,Wish (Album Version),2001
Black Flag,Everything Went Black,Police Story,1981
Moonspell,Wolfheart (re-issue + Bonus Tracks),Alma Mater,1995
Finntroll,Ur Jordens Djup,Ormhäxan,2007
Thomas Battenstein,Guitaropa,Jag Vet En Dejlig Rosa,0
Weezer,Maladroit,Dope Nose,2002
Hector,Hotelli Hannikainen,Hannikaisen baari,0
Planxty,Planxty,Junior Crehan's Favourite - Corney Is Coming,1973
Wamdue Project,Private Beach Club - By Afterlife,Washes Over Me,0
Jacques Douai,Heritage - Maintenant Que La Jeunesse... - BAM (1968-1971),Le Roi A Fait Battre Tambour,0
RUN-DMC,Original Album Classics,Bob Your Head,1990
Sammi Cheng,Sammi Vs Sammi 04 Concert CD,Luo Cuo Che,0
Anthony Cruz,Tsahai Riddim (aka Receive),Make it up,2005
The Jeff Healey Band,Legacy:Volume One,It Could All Get Blown Away,1992
Walter Hawkins,Love Alive II,Never Alone,1978
Eddy Raven,That Good Old Gospel Music_ Volume 2,Love Lifted Me,0
The Irish Tenors,Live From Ellis Island,The Croppy Boy,2001
Devo,Q: Are We Not Men?  A: We Are Devo / Devo Live,Sloppy (I Saw My Baby Gettin'),1978
Eyes Set to Kill,Broken Frames,Play The Part,2010
Pep Laguarda & Tapineria,Brossa D'ahir,Caseta del Plater,0
Rod Bernard,Voices Of Americana: Rod Bernard,Cajun Honey (Cajun Lovin' Style),0
Keep Of Kalessin,Armada,Many Are We,2006
Geiom Feat. Marita,The Sound of Dubstep,Reminissin',0
Jefferson Starship,Original Album Classics,Fading Lady Light,0
Ann Lee,2 People,2 People,0
The In Crowd,His Majesty Is Coming,Back A Yard,1979
Mississippi Mass Choir,God Gets The Glory,It's Good To Know Jesus,2003
Magic Systeme,Ivoir' Compil_ Vol. 4,1er Gaou,0
Lonnie Johnson,Lonnie Johnson Vol. 2  (1926 - 1927),South Bound Water,0
The Antripodean Collective,The Massacre of the Egos,The Very Conscious,0
Bryan Ferry,Frantic,Ja Nun Hons Pris,2002
DAVE MATTHEWS BAND,Live At Red Rocks 8.15.95,Tripping Billies,1993
Glad,Acapella Project Vol. 1,O For a Thousand Tongues,0
Eazy-E,Eazy Duz It,I'mma Break It Down,1988
Gorillaz,Demon Days,November Has Come,2005
Pat Travers,Putting It Straight,It Ain't What It Seems,0
Linkin Park,Minutes To Midnight,Given Up (Album Version),2007
Martin Sexton,Live Wide Open,Things You Do To Me,2000
Amy Winehouse,ESSENTIAL 08,Valerie,2007
The John Buzon Trio,Ultra-Lounge / Mambo Fever  Volume Two,I Can't Believe That You're In Love With Me (Digitally Remastered 95),0
The Shangri-Las,The Very Best Of The Shangri-Las,Bull Dog,1964
Robert Lockwood_ Jr.,I Got To Find Me A Woman,Big Legged Woman,1998
Cabas,Amores Difíciles,Como Nuestro Amor No Hay Dos,2008
Jean Lumière,The Greatest Hits from 40's and 50's_ Vol. 8,Je suis le passeur du printemps,0
Sivuca,Sivuca - Enfim Solo,Forró Praieiro,0
Flink,Moog,Russian Doll,0
Scott Ainslie,Terraplane,Chumpman Blues,0
Tyree,Jack'd Volume 1,My M.B. Thang,0
Heaven 17,The Luxury Gap,Come Live With Me (12'' Extended Version) (2006 Digital Remaster),1983
Paul Buckmaster,Most Wanted,Dunn's Revenge,0
Evolution,L'apparenza,My Own Way,0
Charlie Walker,Charlie Walker's ''T'' For Texas,Pick Me Up On Your Way Down - Original,0
Wilks,Brightess night,Brightess night,0
Der Plan,Die Letzte Rache (+Bonus),Schauet Her!,1983
Peloton,Selected Recordings,Beloki,0
Eko Fresh feat. Ado,Ekaveli,Ich bleib so wie ich bin,2007
The Statler Brothers,Flowers On The Wall:  The Essential Statler Brothers 1964-1969,Shenandoah,1967
Paul Avgerinos,Words Touch,Song Without End,2004
Muse,Supermassive Black Hole,Supermassive Black Hole (Album Version),0
Bomb Squad,Channel U,BOMB SQUAD,0
Pennywise,The Fuse,6TH Avenue Nightmare,2005
The Jordanaires & Orion,Christmas To Elvis from The Jordanaires,Joy to the World,0
Seal,The Acoustic Session,Show Me (Acoustic Version),0
Faron Young,30 Of His Best,It's Four In The Morning,1986
Lonestar,Party Heard Around The World,Y.O.U. (Album Version),0
Charlotte Gainsbourg,IRM,Le Chat du Café des Artistes,2009
Sandra Mihanovich,Creciendo,Cuatro Estrofas,1994
The Prefects,Live In 1978 At The Festival Suite_ Birmingham Co-op,Background Music: The Greatest Ever Punk Sing-Along! (Live),0
Slum Village,Fantastic Vol. 2.10,Climax (Instrumental Mix),0
Dixie Chicks,Wide Open Spaces,Give It Up Or Let Me Go,1998
Paul Buckmaster,Most Wanted,The Interrogation,0
The Merry Macs,Classic Years of The Merry Macs,Dolores,0
Bon Jovi,Have A Nice Day,Wildflower,2005
Frank Chacksfield,Windsor Strings,Theme From the Victors,0
Nana Mouskouri,Songs For You,Only You,1997
KMD,KMD And The Rave,Change Your Mind,0
Cam'Ron,Purple Haze,O.T. (Skit),2004
Time Zone,The Best Of British,World Destruction (2005 Digital Remaster),0
Alceu Valença,Ao Vivo Em Todos Os Sentidos,Na Primeira Manhã,1997
Blind Lemon Jefferson,King Of The Country Blues,Wartime Blues,1927
Fruko Y Sus Tesos,Fruko Power Salsa,La Fruta Bomba,2000
Eddie,No Control,Beautiful Lies,0
Loretta Lynn,The Gospel Spirit,I'd Rather Have Jesus,1965
Simply Red,Stars [Expanded],Thrill Me,1991
Rauni Pekkala,20 suosikkia / Toiveiskelmiä 3 / Virran viemää,Miesten tähden,1994
Bobby Pulido,El Cazador,Alma De Metal,1999
The Prodigy,Experience: Expanded (Remastered),Charly (Trip Into Drum And Bass Version) (Remastered),0
Ramón Vargas;Vesselina Kasarova;Vladimir Jurowski,Massenet: Werther,Werther - Lyric Drama in four Acts/Act III/Toute mon âme est là,0
Rickie Lee Jones,Rickie Lee Jones,Danny's All-Star Joint (LP Version),1979
Alex Gopher,Alex Gopher (Versailles Special Edition),Song For Paul,2007
Twista,The Day After,Girl Tonite (featuring Trey Songz)  (Explicit Chopped & Screwed Version),2005
Stefon Harris,African Tarantella,From the Gardner Meditations: African Tarantella,2006
The Chi Lites,Nothing Lasts For Ever,Toby,1974
Telecast,The Beauty of Simplicity,Covered (The Beauty Of Simplicity Album Version),0
Eric Burdon,Soldier Of Fortune,Devil's Daughter,1988
María Elena Walsh,Todos Cantamos Con Maria Elena,Canción De Títeres,0
Don & Juan,Don & Juan,Sincerely,0
An Cafe,Goku Tama Rock Cafe,ONE WAY LOVE,0
Mack and Jamie,Extreme Channel Surfing,Althea Cooley,0
Bob Hope,Thanks For The Memory,Merry-Go-Runaround,2003
Bob Wills,For The Last Time,Yearning Just For You,0
God Lives Underwater,Empty,Don't Know How To Be,1995
Eminem,The Marshall Mathers LP,I'm Back,2000
Pyranja,Wurzeln & Flügel,Anfang Vom Ende,2003
Bruisers,Cruising For A Bruising,2 Fists Full Of Nothing,0
Paul Avgerinos,Words Touch,In My Heart,2004
ATB,No Silence,Collides With Beauty,2004
Fake Problems,It's Great To Be Alive,Tabernacle Song,2009
The Perrys,Absolutely Positively Live,I'll Pray For You,0
Héroes del Silencio,Senda '91,El Mar No Cesa (Live),1991
Eurythmics,Revenge,A Little Of You,1986
Steve Green,Forgive Me (Premiere Performance Plus Track),Forgive Me (High Key-Premiere Performance Plus),0
Selena,Mis Primeros Exitos - Selena 20 Years Of Music,Cien Anos,0
John Travolta / Christopher Walken,Hairspray,"(You're) Timeless To Me (""Hairspray"")",0
The Misfits,American Psycho,Dig Up Her Bones,1997
Jimmy Riley,Pleasure Island 2001,Amaze,0
Anthony Watson,I Love Being Single,I'm Gonna Take My Time,0
Fabián,Espera a la Primavera,Mis calles de arena,0
Gabriel Grossi,Diz que fui por aí,Cai dentro,0
Elvenking,The Winter Wake,Trows Kind,2006
Kira,The Rail Train_ The Meadow_ The Freeway & The Shadows,Song For Stephin Merritt,0
Keep Of Kalessin,Kolossus,Ascendant,2008
Small Faces,Ogdens' Nut Gone Flake,Spoken Word / Ogdens' Nut Gone Flake / Spoken Word,1968
Jeanie Lambe & The Danny Moss Quartet,Three Great Concerts - Live In Hamburg 1993-1995,My Funny Valentine,1996
Yellowcard,Ocean Avenue,One Year_ Six Months,2003
Ray Lynch,Deep Breakfast,Kathleen's Song / Ray Lynch,1984
Jay-Z,R&B Love Collection Summer 2009,Change Clothes,2003
NO-TONE ft.Inusa,Life is Love,Life is Love,0
Martin Lawrence,Live Talkin' Sh--,Talking During Sex (LP Version),0
Frenchy,Bumps & Grinds,Smith & Wesson,0
Berrogüetto,Cantigas De Nadal,Nadal De Luintra,2000
Alice In Chains,Live,Angry Chair,1992
David Saylor,Un Trozo de Mi,Que Ves Por Tu Ventana,0
The New York Dolls,Morrissey Presents The Return Of The New York Dolls - Live From Royal Festival Hall 2004,Vietnamese Baby,1973
Cadacross,Corona Borealis,Bring Out Your Dead,2002
Anti-Flag,The Bright Lights Of America,The Modern Rome Burning,2008
Silverchair,Freak Show/Neon Ballroom,Spawn (Again),0
Dope Stars Inc.,Make A Star,Chase The Light,2006
Bon Jovi,These Days- Special Edition,This Ain't A Love Song,1995
Eddie and the Subtitles,Fuck You Eddie!,Louie Louie,0
Oh No,Dr. Nos Ethiopium,Soul of Ethiopia,2009
Marygold,Turned Left But Don't Know If It Was Right,Neglected,0
Henri Pousseur,Electronic experimental and microtonal 1953-1999,Prospection,0
Bobby Darin,Live From Las Vegas,Intro. & Hello Young Lovers (Live) (2000 Digital Remaster),0
The Wiyos,Broken Land Bell,Dontchaletmecatchya,0
The Vaughan Brothers,Family Style,Good Texan,1990
Burt Bacharach,Reach Out,Are You There (With Another Girl),1967
James Horner,The Missing,The Stranger,2003
